hero_name,player_name,team_name,deaths_avg_per_1m,eliminations_avg_per_1m,final_blows_avg_per_1m,healing_avg_per_1m,hero_damage_avg_per_1m,time_played_total,ultimates_earned_avg_per_1m
dva,Poko,PHI,0.3460103166476106,1.8205963389963065,0.5076973805016343,0.017656225954248823,687.0994594691277,18554.36006128788,0.39451643580381773
sombra,Poko,PHI,0.34788726009825754,1.7394363004912878,0.4174647121179091,12.827119674974465,688.876610467966,862.3483363986015,0.4870421641375606
soldier76,Poko,PHI,0.0,0.0,0.0,0.0,0.0,2.9217427372932434,0.0
wreckingball,Poko,PHI,1.045060362510288,0.0,0.0,0.0,192.33377914955656,57.412951588630676,0.0
overall,ArK,NYE,0.27676436125601356,1.0032708095530491,0.1037866354710051,515.4747516908129,300.57645935554996,1734.3273455500603,0.2421688160990119
hanzo,ArK,NYE,0.0,0.0,0.0,0.0,0.0,3.895881712436676,0.0
lucio,ArK,NYE,0.2599603519794725,1.0769786010578146,0.11141157941977392,543.8093123572495,322.6590583771334,1615.6309868097305,0.2599603519794725
ana,ArK,NYE,0.0,0.0,0.0,0.0,0.0,9.739537358283997,0.0
mercy,ArK,NYE,0.5710971193355524,0.0,0.0,146.64614543131609,0.0,105.06093966960907,0.0
overall,Nevix,SFS,0.397485262120494,1.7375784315553024,0.4542688709948503,1.2723959408604457,631.8108318307083,5283.214750647545,0.2839180443717815
reaper,Nevix,SFS,4.110291558676709,0.0,0.0,460.51302468158656,1570.1314224530568,14.597504615783691,0.0
dva,Nevix,SFS,0.38719836813662933,1.742392656614832,0.4555274919254463,0.0,629.2110720620497,5268.617246031761,0.2847046824534039
overall,Fate,VAL,0.6339147595208285,1.4847585242008758,0.4169857543616096,0.0,815.539171000607,24892.936728477478,0.4603715553934534
winston,Fate,VAL,0.6752526861428673,1.5193185438214514,0.35748671619328265,0.0,844.2343595859571,6042.182554364204,0.4170678355588298
ana,Fate,VAL,0.0,0.0,0.0,0.0,19.265994763143546,7.7857386469841,0.0
mei,Fate,VAL,0.0,0.0,0.0,0.0,0.0,3.8893133997917175,0.0
reaper,Fate,VAL,0.0,0.0,0.0,0.0,0.0,1.9463382363319397,0.0
orisa,Fate,VAL,0.45322402678140145,0.0,0.0,0.0,282.72114756045573,132.3848614692688,0.0
dva,Fate,VAL,0.0,0.0,0.0,0.0,0.0,11.664969861507416,0.0
reinhardt,Fate,VAL,0.6238982832564264,1.4902440859130184,0.44287080210430263,0.0,810.787353355714,18560.71784579754,0.48166240520832915
tracer,Fate,VAL,0.0,0.0,0.0,0.0,0.0,2.918489396572113,0.0
wreckingball,Fate,VAL,0.4635115327772511,0.9270230655545022,0.0,0.0,878.9226622205349,129.44661730527878,0.0
overall,BEBE,HZS,0.44713349232416527,1.4980603866919113,0.2937373307239042,1026.3201113411162,798.4454188968449,18383.77160537243,0.5026172103497916
ana,BEBE,HZS,0.8111671976621383,2.4335015929864148,0.8111671976621383,938.9757448513658,698.0675629771251,73.96748805046082,0.8111671976621383
hanzo,BEBE,HZS,0.543105832418521,1.6293174972555629,0.2715529162092605,0.0,468.3978352218998,220.95141100883484,0.2715529162092605
roadhog,BEBE,HZS,0.0,2.5881072381075563,0.941129904766384,258.8646805948548,462.6558864501439,255.0126170516014,0.235282476191596
zenyatta,BEBE,HZS,0.42333265717333657,1.4780148806482871,0.27370645937931243,1055.7255429046618,838.6864725293975,16440.97114187479,0.5109187241747165
sombra,BEBE,HZS,0.0,0.0,0.0,0.0,0.0,12.649130523204803,0.0
moira,BEBE,HZS,0.7723410434060874,1.3998681411735336,0.2896278912772828,1090.8459596925425,432.19342409885206,1242.9742122292519,0.48271315212880467
bastion,BEBE,HZS,0.874344940369938,2.185862350924845,1.311517410554907,139.31595150755447,577.8129846390102,137.24560463428497,0.437172470184969
overall,shu,GZC,0.3238509177845006,1.4996339796507505,0.40554304118959983,1040.4226353442425,755.5849086527525,20565.01814341545,0.5134933471177667
ana,shu,GZC,0.2800521617070788,1.467473327345093,0.30245633464364513,872.5610410650302,400.2573152418321,5356.145051181316,0.49289180460445875
widowmaker,shu,GZC,0.0,0.9631634309524614,0.0,0.0,825.2829099928124,124.58944779634476,0.4815817154762307
zenyatta,shu,GZC,0.34073845179323026,1.5152839385628356,0.4449643311652771,1109.3272749976197,881.4069381412104,14967.491849422455,0.5251380845283902
